fecha,usuario,accion,tabla,detalle
2026-07-13 11:15:17.544626-03:00,Dana,LOGIN_SUCCESS,auth,Login exitoso
2026-07-13 11:14:18.556442-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-13 10:51:17.282606-03:00,Musthia,CONSULTA,usuarios,"Listado de usuarios - total=16, page=1, search='', rol=''"
2026-07-13 10:51:17.254146-03:00,Musthia,CONSULTA,usuarios,"Listado de usuarios - total=16, page=1, search='', rol=''"
2026-07-13 10:50:39.000267-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-13 10:50:31.675828-03:00,Walter,LOGIN_FAILED,auth,Usuario inactivo.
2026-07-13 10:50:25.139356-03:00,Walter,LOGIN_FAILED,auth,Usuario inactivo.
2026-07-13 10:49:19.868111-03:00,Dana,CREATE,escribania.Datcorr_database,Registro creado en ESCRIBANIA
2026-07-13 10:48:26.288756-03:00,Dana,LOGIN_SUCCESS,auth,Login exitoso
2026-07-13 10:37:24.799178-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-13 08:32:56.692591-03:00,Dana,CONSULTA,reportes.inventario,Ejecutó reporte 'inventario' con filtros: {}
2026-07-13 08:32:00.565618-03:00,Dana,CREATE,ips.Datcorr_database,Registro creado en IPS
2026-07-13 08:31:20.950494-03:00,Dana,CONSULTA,maternidad.Datcorr_database,"Consulta MATERNIDAD (pagina 1, 50 registros, total 29836)"
2026-07-13 08:31:05.283073-03:00,Dana,CONSULTA,ips.Datcorr_database,"Consulta IPS (pagina 1, 50 registros, total 22056)"
2026-07-13 08:25:33.662390-03:00,Dana,LOGIN_SUCCESS,auth,Login exitoso
2026-07-13 08:25:21.117231-03:00,Walter,LOGIN_FAILED,auth,Usuario inactivo.
2026-07-10 14:12:43.047925-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 14:10:23.904291-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 13:49:26.579386-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 13:47:46.874281-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 13:47:14.052627-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 13:21:46.275389-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 10:28:44.625348-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 10:16:47.081052-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 10:14:41.260601-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 09:45:59.497058-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 09:41:49.684220-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 09:30:58.618355-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 08:59:56.000688-03:00,Musthia,LOGIN_SUCCESS,auth,Login exitoso
2026-07-10 08:59:52.858904-03:00,Musthia,LOGIN_FAILED,auth,Password incorrecta.
